func_name,shadow_price,ir_count,opt_level,inlined,threshold_baseline,threshold_adjusted
func_0_size_10_opt_0,975.00,10,0,1,20,100
func_0_size_50_opt_0,1200.00,50,0,1,20,100
func_0_size_100_opt_0,1025.00,100,0,0,20,100
func_0_size_200_opt_0,1182.00,200,0,0,20,100
func_0_size_500_opt_0,843.00,500,0,0,20,100
func_1_size_10_opt_0,13.00,10,0,0,20,5
func_1_size_50_opt_0,7.00,50,0,0,20,5
func_1_size_100_opt_0,8.00,100,0,0,20,5
func_1_size_200_opt_0,12.00,200,0,0,20,5
func_1_size_500_opt_0,9.00,500,0,0,20,5
func_2_size_10_opt_0,1168.00,10,0,1,20,100
func_2_size_50_opt_0,1136.00,50,0,1,20,100
func_2_size_100_opt_0,878.00,100,0,0,20,100
func_2_size_200_opt_0,1116.00,200,0,0,20,100
func_2_size_500_opt_0,827.00,500,0,0,20,100
func_3_size_10_opt_0,5.00,10,0,0,20,5
func_3_size_50_opt_0,15.00,50,0,0,20,5
func_3_size_100_opt_0,5.00,100,0,0,20,5
func_3_size_200_opt_0,13.00,200,0,0,20,5
func_3_size_500_opt_0,13.00,500,0,0,20,5
func_4_size_10_opt_0,907.00,10,0,1,20,100
func_4_size_50_opt_0,1189.00,50,0,1,20,100
func_4_size_100_opt_0,816.00,100,0,0,20,100
func_4_size_200_opt_0,1002.00,200,0,0,20,100
func_4_size_500_opt_0,1087.00,500,0,0,20,100
func_5_size_10_opt_0,5.00,10,0,0,20,5
func_5_size_50_opt_0,10.00,50,0,0,20,5
func_5_size_100_opt_0,7.00,100,0,0,20,5
func_5_size_200_opt_0,13.00,200,0,0,20,5
func_5_size_500_opt_0,15.00,500,0,0,20,5
func_6_size_10_opt_0,881.00,10,0,1,20,100
func_6_size_50_opt_0,971.00,50,0,1,20,100
func_6_size_100_opt_0,871.00,100,0,0,20,100
func_6_size_200_opt_0,1076.00,200,0,0,20,100
func_6_size_500_opt_0,1100.00,500,0,0,20,100
func_7_size_10_opt_0,7.00,10,0,0,20,5
func_7_size_50_opt_0,15.00,50,0,0,20,5
func_7_size_100_opt_0,7.00,100,0,0,20,5
func_7_size_200_opt_0,14.00,200,0,0,20,5
func_7_size_500_opt_0,14.00,500,0,0,20,5
func_8_size_10_opt_0,967.00,10,0,1,20,100
func_8_size_50_opt_0,1019.00,50,0,1,20,100
func_8_size_100_opt_0,877.00,100,0,0,20,100
func_8_size_200_opt_0,891.00,200,0,0,20,100
func_8_size_500_opt_0,1080.00,500,0,0,20,100
func_9_size_10_opt_0,15.00,10,0,0,20,5
func_9_size_50_opt_0,9.00,50,0,0,20,5
func_9_size_100_opt_0,9.00,100,0,0,20,5
func_9_size_200_opt_0,9.00,200,0,0,20,5
func_9_size_500_opt_0,5.00,500,0,0,20,5
func_10_size_10_opt_0,986.00,10,0,1,20,100
func_10_size_50_opt_0,844.00,50,0,1,20,100
func_10_size_100_opt_0,1164.00,100,0,0,20,100
func_10_size_200_opt_0,1031.00,200,0,0,20,100
func_10_size_500_opt_0,1078.00,500,0,0,20,100
func_11_size_10_opt_0,6.00,10,0,0,20,5
func_11_size_50_opt_0,13.00,50,0,0,20,5
func_11_size_100_opt_0,7.00,100,0,0,20,5
func_11_size_200_opt_0,5.00,200,0,0,20,5
func_11_size_500_opt_0,10.00,500,0,0,20,5
func_12_size_10_opt_0,844.00,10,0,1,20,100
func_12_size_50_opt_0,901.00,50,0,1,20,100
func_12_size_100_opt_0,1000.00,100,0,0,20,100
func_12_size_200_opt_0,1015.00,200,0,0,20,100
func_12_size_500_opt_0,1180.00,500,0,0,20,100
func_13_size_10_opt_0,11.00,10,0,0,20,5
func_13_size_50_opt_0,5.00,50,0,0,20,5
func_13_size_100_opt_0,9.00,100,0,0,20,5
func_13_size_200_opt_0,11.00,200,0,0,20,5
func_13_size_500_opt_0,5.00,500,0,0,20,5
func_14_size_10_opt_0,1169.00,10,0,1,20,100
func_14_size_50_opt_0,1198.00,50,0,1,20,100
func_14_size_100_opt_0,1084.00,100,0,0,20,100
func_14_size_200_opt_0,1064.00,200,0,0,20,100
